player,team,event_type,result,original_x,original_y,converted_x,converted_y
Devin Booker,PHX,shot,made,-27,151,22.3,20.1
Devin Booker,PHX,shot,made,6,13,25.6,6.3
Devin Booker,PHX,shot,made,116,22,36.6,7.2
Devin Booker,PHX,shot,made,1,6,25.1,5.6
Devin Booker,PHX,shot,made,106,233,35.6,28.3
Devin Booker,PHX,shot,made,58,89,30.8,13.9
Devin Booker,PHX,shot,made,203,92,45.3,14.2
Devin Booker,PHX,shot,made,-2,42,24.8,9.2
Devin Booker,PHX,shot,made,-87,28,33.7,86.2
Devin Booker,PHX,shot,made,-86,22,33.6,86.8
Devin Booker,PHX,shot,made,-73,111,32.3,77.9
Devin Booker,PHX,shot,made,0,6,25,88.4
Devin Booker,PHX,shot,made,-130,116,38,77.4
Devin Booker,PHX,shot,made,9,13,24.1,87.7
Devin Booker,PHX,shot,made,-9,251,25.9,63.9
Devin Booker,PHX,shot,made,9,1,24.1,88.9
Devin Booker,PHX,shot,made,102,93,14.8,79.7
Devin Booker,PHX,shot,made,68,49,18.2,84.1
Devin Booker,PHX,shot,made,-132,215,38.2,67.5
Devin Booker,PHX,shot,made,0,10,25,88
Devin Booker,PHX,shot,made,-43,152,29.3,73.8
Devin Booker,PHX,shot,made,-21,55,27.1,83.5
Devin Booker,PHX,shot,made,1,2,24.9,88.8
Devin Booker,PHX,shot,made,13,274,26.3,32.4
Devin Booker,PHX,shot,made,36,25,28.6,7.5
Devin Booker,PHX,shot,made,-17,6,23.3,5.6
Devin Booker,PHX,shot,made,55,13,30.5,6.3
Devin Booker,PHX,shot,made,8,9,25.8,5.9
Devin Booker,PHX,shot,made,10,8,26,5.8
Devin Booker,PHX,shot,made,-113,68,13.7,11.8
Devin Booker,PHX,shot,made,-57,241,19.3,29.1
Devin Booker,PHX,shot,made,16,7,26.6,5.7
Devin Booker,PHX,shot,made,65,29,31.5,7.9
Devin Booker,PHX,shot,made,-78,128,17.2,17.8
Devin Booker,PHX,shot,made,13,23,26.3,7.3
Devin Booker,PHX,shot,made,43,21,29.3,7.1
Devin Booker,PHX,shot,made,-5,10,24.5,6
Devin Booker,PHX,shot,made,-157,82,9.3,13.2
Devin Booker,PHX,shot,made,-8,11,24.2,6.1
Devin Booker,PHX,shot,made,5,11,25.5,6.1
Devin Booker,PHX,shot,made,-17,14,23.3,6.4
Devin Booker,PHX,shot,made,125,215,37.5,26.5
Devin Booker,PHX,shot,made,-38,255,21.2,30.5
Devin Booker,PHX,shot,made,-119,116,13.1,16.6
Devin Booker,PHX,shot,made,-22,-2,22.8,4.8
Devin Booker,PHX,shot,made,-138,174,11.2,22.4
Devin Booker,PHX,shot,made,6,57,25.6,10.7
Devin Booker,PHX,shot,made,-52,117,19.8,16.7
Devin Booker,PHX,shot,made,-147,23,10.3,7.3
Devin Booker,PHX,shot,made,0,263,25,31.3
Devin Booker,PHX,shot,made,-21,8,22.9,5.8
Devin Booker,PHX,shot,made,0,111,25,16.1
Devin Booker,PHX,shot,made,5,0,25.5,5
Devin Booker,PHX,shot,made,-95,65,15.5,11.5
Devin Booker,PHX,shot,made,-101,132,14.9,18.2
Devin Booker,PHX,shot,made,137,53,11.3,83.7
Devin Booker,PHX,shot,made,121,227,12.9,66.3
Devin Booker,PHX,shot,made,5,-1,24.5,89.1
Devin Booker,PHX,shot,made,-74,246,32.4,64.4
Devin Booker,PHX,shot,made,3,6,24.7,88.4
Devin Booker,PHX,shot,made,11,4,23.9,88.6
Devin Booker,PHX,shot,made,-111,231,36.1,65.9
Devin Booker,PHX,shot,made,31,1,21.9,88.9
Devin Booker,PHX,shot,made,-74,70,32.4,82
Devin Booker,PHX,shot,made,195,166,5.5,72.4
Devin Booker,PHX,shot,made,-3,-2,25.3,89.2
